"Order","Class","Domain","Variable","Label","Type","ControlledTerms","Role","Core"
"12","Findings","SS","SSSTRESC","Character Result/Finding in Std Format","Char","(SSSTRESC)","Result Qualifier","Exp"
"13","Findings","SS","SSSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"14","Findings","SS","SSREASND","Reason Assessment Not Performed","Char","","Record Qualifier","Perm"
"15","Findings","SS","SSEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"16","Findings","SS","VISITNUM","Visit Number","Num","","Timing","Exp"
"17","Findings","SS","VISIT","Visit Name","Char","","Timing","Perm"
"18","Findings","SS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"19","Findings","SS","SSDTC","Date/Time of Assessment","Char","ISO 8601","Timing","Exp"
"20","Findings","SS","SSDY","Study Day of Assessment","Num","","Timing","Perm"
"1","Findings","TR","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","TR","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","TR","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","TR","TRSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","TR","TRGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","TR","TRREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","TR","TRSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","TR","TRLNKID","Link ID","Char","","Identifier","Exp"
"9","Findings","TR","TRLNKGRP","Link Group","Char","","Identifier","Perm"
"10","Findings","TR","TRTESTCD","Tumor Assessment Short Name","Char","(TRTESTCD)","Topic","Req"
"11","Findings","TR","TRTEST","Tumor Assessment Test Name","Char","(TRTEST)","Synonym Qualifier","Req"
"12","Findings","TR","TRORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","TR","TRORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Exp"
"14","Findings","TR","TRSTRESC","Character Result/Finding in Std Format","Char","","Record Qualifier","Exp"
"15","Findings","TR","TRSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"16","Findings","TR","TRSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"17","Findings","TR","TRSTAT","Completion Status","Char","(ND)","Result Qualifier","Perm"
"18","Findings","TR","TRREASND","Reason Tumor Measurement Not Performed","Char","","Record Qualifier","Perm"
"19","Findings","TR","TRNAM","Vendor Name","Char","","Record Qualifier","Perm"
"20","Findings","TR","TRMETHOD","Method used to Identify the Tumor","","(METHOD)","Record Qualifier","Exp"
"21","Findings","TR","TREVAL","Evaluator","Char","(EVAL)","Record Qualifier","Exp"
"22","Findings","TR","TREVALID","Evaluator Identifier","Char","(MEDEVAL)","Variable Qualifier","Perm"
"23","Findings","TR","TRACPTFL","Accepted Record Flag","Char","(NY)","Record Qualifier","Perm"
"24","Findings","TR","VISITNUM","Visit Number","Num","","Timing","Exp"
"25","Findings","TR","VISIT","Visit Name","Char","","Timing","Perm"
"26","Findings","TR","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"27","Findings","TR","EPOCH","Epoch","Char","","Timing","Perm"
"28","Findings","TR","TRDTC","Date/Time of Tumor Measurement","Char","ISO 8601","Timing","Exp"
"29","Findings","TR","TRDY","Study Day of Tumor Measurement","Num","","Timing","Perm"
"1","Findings","TU","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","TU","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","TU","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","TU","TUSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","TU","TUGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","TU","TUREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings","TU","TUSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings","TU","TULNKID","Link ID","Char","","Identifier","Exp"
"9","Findings","TU","TUTESTCD","Tumor Identification Short Name","Char","(TUTESTCD)","Topic","Req"
"10","Findings","TU","TUTEST","Tumor Identification Test Name","Char","(TUTEST)","Synonym Qualifier","Req"
"11","Findings","TU","TUORRES","Tumor Identification Result","Char","","Result Qualifier","Exp"
"12","Findings","TU","TUSTRESC","Tumor Identification Result Std. Format","Char","(TUMIDENT)","Record Qualifier","Exp"
"13","Findings","TU","TUNAM","Vendor Name","Char","","Record Qualifier","Perm"
"14","Findings","TU","TULOC","Location of the Tumor","Char","(LOC)","Record Qualifier ","Exp"
"15","Findings","TU","TULAT","Laterality","Char","(LAT)","Record Qualifier","Perm"
"16","Findings","TU","TUDIR","Directionality","Char","(DIR)","Record Qualifier","Perm"
"17","Findings","TU","TUPORTOT","Portion or Totality","Char","(PORTOT)","Record Qualifier","Perm"
"18","Findings","TU","TUMETHOD","Method of Identification","Char","(METHOD)","Record Qualifier ","Exp"
"19","Findings","TU","TUEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Exp"
"20","Findings","TU","TUEVALID","Evaluator Identifier","Char","(MEDEVAL)","Variable Qualifier","Perm"
"21","Findings","TU","TUACPTFL","Accepted Record Flag","Char","(NY)","Record Qualifier","Perm"
"22","Findings","TU","VISITNUM","Visit Number","Num","","Timing","Exp"
"23","Findings","TU","VISIT","Visit Name","Char","","Timing","Perm"
"24","Findings","TU","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"25","Findings","TU","EPOCH","Epoch","Char","","Timing","Perm"
"26","Findings","TU","TUDTC","Date/Time of Tumor Identification","Char","ISO 8601","Timing","Exp"
"27","Findings","TU","TUDY","Study Day of Tumor Identification","Num","","Timing","Perm"
"1","Findings","VS","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings","VS","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings","VS","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings","VS","VSSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings","VS","VSGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings","VS","VSSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings","VS","VSTESTCD","Vital Signs Test Short Name","Char","(VSTESTCD)","Topic","Req"
"8","Findings","VS","VSTEST","Vital Signs Test Name","Char","(VSTEST)","Synonym Qualifier","Req"
"9","Findings","VS","VSCAT","Category for Vital Signs","Char","","Grouping Qualifier","Perm"
"10","Findings","VS","VSSCAT","Subcategory for Vital Signs","Char","","Grouping Qualifier","Perm"
"11","Findings","VS","VSPOS","Vital Signs Position of Subject","Char","(POSITION)","Record Qualifier","Perm"
"12","Findings","VS","VSORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings","VS","VSORRESU","Original Units","Char","(VSRESU)","Variable Qualifier ","Exp"
"14","Findings","VS","VSSTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"15","Findings","VS","VSSTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Exp"
"16","Findings","VS","VSSTRESU","Standard Units","Char","(VSRESU)","Variable Qualifier","Exp"
"17","Findings","VS","VSSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings","VS","VSREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"19","Findings","VS","VSLOC","Location of Vital Signs Measurement","Char","(LOC)","Record Qualifier","Perm"
"20","Findings","VS","VSLAT","Laterality","Char","(LAT)","Result Qualifier","Perm"
"21","Findings","VS","VSBLFL","Baseline Flag","Char","(NY)","Record Qualifier","Exp"
"22","Findings","VS","VSDRVFL","Derived Flag","Char","(NY)","Record Qualifier","Perm"
"23","Findings","VS","VISITNUM","Visit Number","Num","","Timing","Exp"
"24","Findings","VS","VISIT","Visit Name","Char","","Timing","Perm"
"25","Findings","VS","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"26","Findings","VS","VSDTC","Date/Time of Measurements","Char","ISO 8601","Timing","Exp"
"27","Findings","VS","VSDY","Study Day of Vital Signs","Num","","Timing","Perm"
"28","Findings","VS","VSTPT","Planned Time Point Name","Char","","Timing","Perm"
"29","Findings","VS","VSTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"30","Findings","VS","VSELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"31","Findings","VS","VSTPTREF","Time Point Reference ","Char","","Timing","Perm"
"32","Findings","VS","VSRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Findings About","FA","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings About","FA","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings About","FA","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings About","FA","FASEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings About","FA","FAGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings About","FA","FASPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Findings About","FA","FATESTCD","Findings About Test Short Name","Char","(FATESTCD)","Topic","Req"
"8","Findings About","FA","FATEST","Findings About Test Name","Char","(FATEST)","Synonym Qualifier","Req"
"9","Findings About","FA","FAOBJ","Object of the Observation","Char","","Record Qualifier","Req"
"10","Findings About","FA","FACAT","Category for Findings About","Char","","Grouping Qualifier","Perm"
"11","Findings About","FA","FASCAT","Subcategory for Findings About","Char","","Grouping Qualifier","Perm"
"12","Findings About","FA","FAORRES","Result or Finding in Original Units","Char","","Result Qualifier","Exp"
"13","Findings About","FA","FAORRESU","Original Units","Char","(UNIT)","Variable Qualifier ","Perm"
"14","Findings About","FA","FASTRESC","Character Result/Finding in Std Format","Char","","Result Qualifier","Exp"
"15","Findings About","FA","FASTRESN","Numeric Result/Finding in Standard Units","Num","","Result Qualifier","Perm"
"16","Findings About","FA","FASTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Perm"
"17","Findings About","FA","FASTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"18","Findings About","FA","FAREASND","Reason Not Performed","Char","","Record Qualifier","Perm"
"19","Findings About","FA","FALOC","Location of the Finding About","Char","(LOC)","Record Qualifier","Perm"
"20","Findings About","FA","FALAT","Laterality of Location of the Finding About","Char","(LAT)","Result Qualifier",""
"21","Findings About","FA","FABLFL","Baseline Flag","Char","(NY)","Record Qualifier","Perm"
"22","Findings About","FA","FAEVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"23","Findings About","FA","VISITNUM","Visit Number","Num","","Timing","Exp"
"24","Findings About","FA","VISIT","Visit Name","Char","","Timing","Perm"
"25","Findings About","FA","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"26","Findings About","FA","FADTC","Date/Time of Collection","Char","ISO 8601","Timing","Perm"
"27","Findings About","FA","FADY","Study Day of Collection","Num","","Timing","Perm"
"1","Findings About","SR","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Findings About","SR","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Findings About","SR","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Findings About","SR","SRSEQ","Sequence Number","Num","","Identifier","Req"
"5","Findings About","SR","SRGRPID","Group ID","Char","","Identifier","Perm"
"6","Findings About","SR","SRREFID","Reference ID","Char","","Identifier","Perm"
"7","Findings About","SR","SRSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Findings About","SR","SRTESTCD","Skin Response Test or Exam Short Name","Char","","Topic","Req"
"9","Findings About","SR","SRTEST","Skin Response Test or Examination Name","Char","","Synonym Qualifier","Req"
"10","Findings About","SR","SROBJ","Object of the Observation","Char","","Record Qualifier","Req"
"11","Findings About","SR","SRCAT","Category for Test","Char","","Grouping Qualifier","Perm"
"12","Findings About","SR","SRSCAT","Subcategory for Test","Char","","Grouping Qualifier","Perm"
"13","Findings About","SR","SRORRES","Results or Findings in Original Units","Char","","Result Qualifier","Exp"
"14","Findings About","SR","SRORRESU","Original Units","Char","(UNIT)","Variable Qualifier","Exp"
"15","Findings About","SR","SRSTRESC","Character Results/Findings in Std. Format ","Char","","Result Qualifier","Exp"
"16","Findings About","SR","SRSTRESN","Numeric Results/Findings in Std. Units ","Num","","Result Qualifier","Exp"
"17","Findings About","SR","SRSTRESU","Standard Units","Char","(UNIT)","Variable Qualifier","Exp"
"18","Findings About","SR","SRSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"19","Findings About","SR","SRREASND","Reason Not Done","Char","","Record Qualifier","Perm"
"20","Findings About","SR","SRNAM","Vendor Name","Char","","Record Qualifier","Perm"
"21","Findings About","SR","SRSPEC","Specimen Type ","Char","(SPECTYPE)","Record Qualifier","Perm"
"22","Findings About","SR","SRLOC","Location used for Measurement","Char","(LOC)","Record Qualifier","Perm"
"23","Findings About","SR","SRLAT","Laterality","Char","(LAT)","Result Qualifier","Perm"
"24","Findings About","SR","SRMETHOD","Method of Test or Examination","Char","(METHOD)","Record Qualifier","Perm"
"25","Findings About","SR","SREVAL","Evaluator","Char","(EVAL)","Record Qualifier","Perm"
"26","Findings About","SR","VISITNUM","Visit Number","Num","","Timing","Exp"
"27","Findings About","SR","VISIT","Visit Name","Char","","Timing","Perm"
"28","Findings About","SR","VISITDY","Planned Study Day of Visit","Num","","Timing","Perm"
"29","Findings About","SR","SRDTC","Date/Time of Collection","Char","ISO 8601","Timing","Exp"
"30","Findings About","SR","SRDY","Study Day of Visit/Collection/Exam","Num","","Timing","Perm"
"31","Findings About","SR","SRTPT","Planned Time Point Name","Char","","Timing","Perm"
"32","Findings About","SR","SRTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"33","Findings About","SR","SRELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"34","Findings About","SR","SRTPTREF","Time Point Reference ","Char","","Timing","Perm"
"35","Findings About","SR","SRRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Interventions","CM","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Interventions","CM","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Interventions","CM","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Interventions","CM","CMSEQ","Sequence Number","Num","","Identifier","Req"
"5","Interventions","CM","CMGRPID","Group ID","Char","","Identifier","Perm"
"6","Interventions","CM","CMSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Interventions","CM","CMTRT","Reported Name of Drug, Med, or Therapy","Char","","Topic","Req"
"8","Interventions","CM","CMMODIFY","Modified Reported Name","Char","","Synonym Qualifier","Perm"
"9","Interventions","CM","CMDECOD","Standardized Medication Name","Char","","Synonym Qualifier","Perm"
"10","Interventions","CM","CMCAT","Category for Medication","Char","","Grouping Qualifier","Perm"
"11","Interventions","CM","CMSCAT","Subcategory for Medication ","Char","","Grouping Qualifier","Perm"
"12","Interventions","CM","CMPRESP","CM Pre-Specified","Char","(NY)","Variable Qualifier","Perm"
"13","Interventions","CM","CMOCCUR","CM Occurrence","Char","(NY)","Record Qualifier","Perm"
"14","Interventions","CM","CMSTAT","Completion Status","Char","(ND)","Record Qualifier","Perm"
"15","Interventions","CM","CMREASND","Reason Medication Not Collected","Char","","Record Qualifier","Perm"
"16","Interventions","CM","CMINDC","Indication","Char","","Record Qualifier","Perm"
"17","Interventions","CM","CMCLAS","Medication Class","Char","","Variable Qualifier","Perm"
"18","Interventions","CM","CMCLASCD","Medication Class Code","Char","","Variable Qualifier","Perm"
"19","Interventions","CM","CMDOSE","Dose per Administration","Num","","Record Qualifier","Perm"
"20","Interventions","CM","CMDOSTXT","Dose Description","Char","","Record Qualifier","Perm"
"21","Interventions","CM","CMDOSU","Dose Units","Char","(UNIT)","Variable Qualifier","Perm"
"22","Interventions","CM","CMDOSFRM","Dose Form","Char","(FRM)","Variable Qualifier","Perm"
"23","Interventions","CM","CMDOSFRQ","Dosing Frequency per Interval","Char","(FREQ)","Variable Qualifier","Perm"
"24","Interventions","CM","CMDOSTOT","Total Daily Dose ","Num","","Record Qualifier","Perm"
"25","Interventions","CM","CMDOSRGM","Intended Dose Regimen","Char","","Variable Qualifier","Perm"
"26","Interventions","CM","CMROUTE","Route of Administration","Char","(ROUTE)","Variable Qualifier","Perm"
"27","Interventions","CM","CMSTDTC","Start Date/Time of Medication","Char","ISO 8601","Timing","Perm"
"28","Interventions","CM","CMENDTC","End Date/Time of Medication","Char","ISO 8601","Timing","Perm"
"29","Interventions","CM","CMSTDY","Study Day of Start of Medication","Num","","Timing","Perm"
"30","Interventions","CM","CMENDY","Study Day of End of Medication","Num","","Timing","Perm"
"31","Interventions","CM","CMDUR","Duration of Medication","Char","ISO 8601","Timing","Perm"
"32","Interventions","CM","CMSTRF","Start Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"33","Interventions","CM","CMENRF","End Relative to Reference Period","Char","(STENRF)","Timing","Perm"
"34","Interventions","CM","CMSTRTPT","Start Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"35","Interventions","CM","CMSTTPT","Start Reference Time Point","Char","","Timing","Perm"
"36","Interventions","CM","CMENRTPT","End Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"37","Interventions","CM","CMENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Interventions","EC","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Interventions","EC","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Interventions","EC","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Interventions","EC","ECSEQ","Sequence Number","Num","","Identifier","Req"
"5","Interventions","EC","ECGRPID","Group ID","Char","","Identifier","Perm"
"6","Interventions","EC","ECREFID","Reference ID","Char","","Identifier","Perm"
"7","Interventions","EC","ECSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Interventions","EC","ECLNKID","Link ID","Char","","Identifier","Perm"
"9","Interventions","EC","ECLNKGRP","Link Group ID","Char","","Identifier","Perm"
"10","Interventions","EC","ECTRT","Name of Treatment","Char","","Topic","Req"
"11","Interventions","EC","ECMOOD","Mood","Char","","Record Qualifier","Perm"
"12","Interventions","EC","ECCAT","Category of Treatment","Char","","Grouping Qualifier","Perm"
"13","Interventions","EC","ECSCAT","Subcategory of Treatment","Char","","Grouping Qualifier","Perm"
"14","Interventions","EC","ECPRESP","Pre-Specified","Char","(NY)","Record Qualifier","Perm"
"15","Interventions","EC","ECOCCUR","Occurrence","Char","(NY)","Record Qualifier","Perm"
"16","Interventions","EC","ECDOSE","Dose","Num","","Record Qualifier","Exp"
"17","Interventions","EC","ECDOSTXT","Dose Description","Char","","Record Qualifier","Perm"
"18","Interventions","EC","ECDOSU","Dose Units","Char","(UNIT)","Variable Qualifier","Exp"
"19","Interventions","EC","ECDOSFRM","Dose Form","Char","(FRM)","Variable Qualifier","Exp"
"20","Interventions","EC","ECDOSFRQ","Dosing Frequency per Interval","Char","(FREQ)","Variable Qualifier","Perm"
"21","Interventions","EC","ECDOSTOT","Total Daily Dose","Char","","Record Qualifier","Perm"
"22","Interventions","EC","ECDOSRGM","Intended Dose Regimen","Char","","Variable Qualifier","Perm"
"23","Interventions","EC","ECROUTE","Route of Administration","Char","(ROUTE)","Variable Qualifier","Perm"
"24","Interventions","EC","ECLOT","Lot Number","Char","","Record Qualifier","Perm"
"25","Interventions","EC","ECLOC","Location of Dose Administration","Char","(LOC)","Record Qualifier","Perm"
"26","Interventions","EC","ECLAT","Laterality","Char","(LAT)","Record Qualifier","Perm"
"27","Interventions","EC","ECDIR","Directionality","Char","(DIR)","Variable Qualifier","Perm"
"28","Interventions","EC","ECPORTOT","Portion or Totality","Char","(PORTOT)","Variable Qualifier","Perm"
"29","Interventions","EC","ECFAST","Fasting Status","Char","(NY)","Record Qualifier","Perm"
"30","Interventions","EC","ECPSTRG","Pharmaceutical Strength","Num","","Variable Qualifier","Perm"
"31","Interventions","EC","ECPSTRGU","Pharmaceutical Strength Units","Char","","Variable Qualifier","Perm"
"32","Interventions","EC","ECADJ","Reason for Dose Adjustment","Char","","Record Qualifier","Perm"
"33","Interventions","EC","EPOCH","Epoch","Char","(EPOCH)","Timing","Perm"
"34","Interventions","EC","ECSTDTC","Start Date/Time of Treatment","Char","ISO 8601","Timing","Exp"
"35","Interventions","EC","ECENDTC","End Date/Time of Treatment","Char","ISO 8601","Timing","Exp"
"36","Interventions","EC","ECSTDY","Study Day of Start of Treatment","Num","","Timing","Perm"
"37","Interventions","EC","ECENDY","Study Day of End of Treatment","Num","","Timing","Perm"
"38","Interventions","EC","ECDUR","Duration of Treatment","Char","ISO 8601","Timing","Perm"
"39","Interventions","EC","ECTPT","Planned Time Point Name","Char","","Timing","Perm"
"40","Interventions","EC","ECTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"41","Interventions","EC","ECELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"42","Interventions","EC","ECTPTREF","Time Point Reference","Char","","Timing","Perm"
"43","Interventions","EC","ECRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Interventions","EX","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Interventions","EX","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Interventions","EX","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Interventions","EX","EXSEQ","Sequence Number","Num","","Identifier","Req"
"5","Interventions","EX","EXGRPID","Group ID","Char","","Identifier","Perm"
"6","Interventions","EX","EXREFID","Reference ID","Char","","Identifier","Perm"
"7","Interventions","EX","EXSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Interventions","EX","EXLNKID","Link ID","Char","","Identifier","Perm"
"9","Interventions","EX","EXLNKGRP","Link Group ID","Char","","Identifier","Perm"
"10","Interventions","EX","EXTRT","Name of Treatment","Char","","Topic","Req"
"11","Interventions","EX","EXCAT","Category of Treatment","Char","","Grouping Qualifier","Perm"
"12","Interventions","EX","EXSCAT","Subcategory of Treatment","Char","","Grouping Qualifier","Perm"
"13","Interventions","EX","EXDOSE","Dose","Num","","Record Qualifier","Exp"
"14","Interventions","EX","EXDOSTXT","Dose Description","Char","","Record Qualifier","Perm"
"15","Interventions","EX","EXDOSU","Dose Units","Char","(UNIT)","Variable Qualifier","Exp"
"16","Interventions","EX","EXDOSFRM","Dose Form","Char","(FRM)","Variable Qualifier","Exp"
"17","Interventions","EX","EXDOSFRQ","Dosing Frequency per Interval","Char","(FREQ)","Variable Qualifier","Perm"
"18","Interventions","EX","EXDOSRGM","Intended Dose Regimen","Char","","Variable Qualifier","Perm"
"19","Interventions","EX","EXROUTE","Route of Administration","Char","(ROUTE)","Variable Qualifier","Perm"
"20","Interventions","EX","EXLOT","Lot Number","Char","","Record Qualifier","Perm"
"21","Interventions","EX","EXLOC","Location of Dose Administration","Char","(LOC)","Record Qualifier","Perm"
"22","Interventions","EX","EXLAT","Laterality","Char","(LAT)","Variable Qualifier","Perm"
"23","Interventions","EX","EXDIR","Directionality","Char","(DIR)","Variable Qualifier","Perm"
"24","Interventions","EX","EXFAST","Fasting Status","Char","(NY)","Record Qualifier","Perm"
"25","Interventions","EX","EXADJ","Reason for Dose Adjustment","Char","","Record Qualifier","Perm"
"26","Interventions","EX","EPOCH","Epoch","Char","(EPOCH)","Timing","Perm"
"27","Interventions","EX","EXSTDTC","Start Date/Time of Treatment","Char","ISO 8601","Timing","Exp"
"28","Interventions","EX","EXENDTC","End Date/Time of Treatment","Char","ISO 8601","Timing","Exp"
"29","Interventions","EX","EXSTDY","Study Day of Start of Treatment","Num","","Timing","Perm"
"30","Interventions","EX","EXENDY","Study Day of End of Treatment","Num","","Timing","Perm"
"31","Interventions","EX","EXDUR","Duration of Treatment","Char","ISO 8601","Timing","Perm"
"32","Interventions","EX","EXTPT","Planned Time Point Name","Char","","Timing","Perm"
"33","Interventions","EX","EXTPTNUM","Planned Time Point Number","Num","","Timing","Perm"
"34","Interventions","EX","EXELTM","Planned Elapsed Time from Time Point Ref","Char","ISO 8601","Timing","Perm"
"35","Interventions","EX","EXTPTREF","Time Point Reference","Char","","Timing","Perm"
"36","Interventions","EX","EXRFTDTC","Date/Time of Reference Time Point","Char","ISO 8601","Timing","Perm"
"1","Events","HO","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Events","HO","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Events","HO","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Events","HO","HOSEQ","Sequence Number","Num","","Identifier","Req"
"5","Events","HO","HOGRPID","Group ID","Char","","Identifier","Perm"
"6","Events","HO","HOREFID","Reference ID ","Char","","Identifier","Perm"
"7","Events","HO","HOSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"8","Events","HO","HOTERM","Reported Term for the Healthcare Encounter","Char","","Topic","Req"
"9","Events","HO","HODECOD","Dictionary-Derived Term for the Healthcare Encounter","Char","","Synonym Qualifier","Perm"
"10","Events","HO","HOCAT","Category for Healthcare Encounter","Char","","Grouping Qualifier","Perm"
"11","Events","HO","HOSCAT","Subcategory for Healthcare Encounter","Char","","Grouping Qualifier","Perm"
"12","Events","HO","HOPRESP","Pre-Specified Healthcare Encounter","Char","(NY)","Record Qualifier","Perm"
"13","Events","HO","HOOCCUR","Healthcare Encounter Occurrence","Char","(NY)","Record Qualifier","Perm"
"14","Events","HO","HOSTAT","Completion Status ","Char","(ND)","Record Qualifier","Perm"
"15","Events","HO","HOREASND","Reason Healthcare Encounter Not Done","Char","","Record Qualifier","Perm"
"16","Events","HO","HODTC","Date/Time of Event Collection","Char","ISO 8601","Timing","Perm"
"17","Events","HO","HOSTDTC","Start Date/Time of Healthcare Encounter","Char","ISO 8601","Timing","Exp"
"18","Events","HO","HOENDTC","End Date/Time of Healthcare Encounter","Char","ISO 8601","Timing","Perm"
"19","Events","HO","HODY","Study Day of Event Collection","Num","","Timing","Perm"
"20","Events","HO","HOSTDY","Study Day of Start of Healthcare Encounter","Num","","Timing","Perm"
"21","Events","HO","HOENDY","Study Day of End of Healthcare Encounter","Num","","Timing","Perm"
"22","Events","HO","HODUR","Duration of Healthcare Encounter","Char","ISO 8601","Timing","Perm"
"23","Events","HO","HOSTRTPT","Start Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"24","Events","HO","HOSTTPT","Start Reference Time Point","Char","","Timing","Perm"
"25","Events","HO","HOENRTPT","End Relative to Reference Time Point","Char","(STENRF)","Timing","Perm"
"26","Events","HO","HOENTPT","End Reference Time Point","Char","","Timing","Perm"
"1","Interventions","PR","STUDYID","Study Identifier","Char","","Identifier","Req"
"2","Interventions","PR","DOMAIN","Domain Abbreviation","Char","(DOMAIN)","Identifier","Req"
"3","Interventions","PR","USUBJID","Unique Subject Identifier","Char","","Identifier","Req"
"4","Interventions","PR","PRSEQ","Sequence Number","Num","","Identifier","Req"
"5","Interventions","PR","PRGRPID","Group ID","Char","","Identifier","Perm"
"6","Interventions","PR","PRSPID","Sponsor-Defined Identifier","Char","","Identifier","Perm"
"7","Interventions","PR","PRLNKID","Link ID","Char","","Identifier","Perm"
"8","Interventions","PR","PRLNKGRP","Link Group ID","Char","","Identifier",""
"9","Interventions","PR","PRTRT","Reported Name of Procedure","Char","","Topic","Req"
"10","Interventions","PR","PRDECOD","Standardized Procedure Name","Char","","Synonym Qualifier ","Perm"
"11","Interventions","PR","PRCAT","Category","Char","","Grouping Qualifier","Perm"
"12","Interventions","PR","PRSCAT","Subcategory","Char","","Grouping Qualifier","Perm"
"13","Interventions","PR","PRPRESP","Pre-specified","Char","(NY)","Record Qualifier","Perm"
